usuario,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o
pede.malesuada.vel@tristiquepharetraQuisque.co.uk,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1
Cras.pellentesque.Sed@etultricesposuere.ca,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0
lectus.justo@loremfringillaornare.org,1,0,1,1,1,0,0,1,1,1,0,1,1,0,1
sem.egestas.blandit@lectusjusto.co.uk,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
Donec@dolor.org,1,1,0,1,1,0,0,0,1,0,1,1,0,0,0
lectus.pede.ultrices@aliquetvel.net,0,0,0,0,1,0,1,0,1,0,1,1,1,1,0
lacinia@gravidasagittisDuis.edu,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
enim@pedeet.co.uk,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0
sit.amet@ligula.edu,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1
non.luctus.sit@mollisPhasellus.com,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0
semper@risusatfringilla.edu,0,0,1,1,0,0,0,1,1,1,0,1,0,1,0
Vestibulum.ut.eros@ut.co.uk,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1
Cras@porttitor.net,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1
lobortis.augue.scelerisque@montesnascetur.edu,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0
semper@atpedeCras.co.uk,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0
sit.amet@metusAenean.net,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0
a.auctor.non@laciniamattisInteger.co.uk,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1
magna@nisisemsemper.org,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1
tincidunt@ligulaAliquam.com,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0
congue.turpis@et.com,0,0,1,1,1,1,0,0,0,1,0,1,1,0,0
nibh.Quisque.nonummy@fringillamilacinia.edu,0,1,1,1,1,0,0,0,0,1,1,1,0,1,0
sem@pharetra.edu,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
condimentum.Donec.at@sedsapien.com,1,0,0,0,1,1,1,0,0,0,0,0,1,1,1
eros@Integer.org,1,0,1,1,1,1,1,1,1,1,0,1,0,0,1
sapien.Aenean@sollicitudincommodoipsum.co.uk,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0
natoque.penatibus@Aliquamultricesiaculis.ca,1,0,1,0,0,1,1,1,1,0,1,1,1,0,1
aptent.taciti.sociosqu@imperdietnon.edu,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1
dui@Nullafacilisis.edu,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
pede.Praesent.eu@egetmetus.net,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1
a.feugiat.tellus@vestibulummassa.edu,1,0,1,0,0,0,1,1,1,0,0,0,0,1,0
a@dapibus.ca,1,1,0,1,1,1,1,0,0,0,1,1,0,1,0
vel.vulputate.eu@Nunc.net,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0
vestibulum.nec@natoquepenatibus.ca,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0
mollis.Integer.tincidunt@Donecnibhenim.org,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1
quis.urna.Nunc@idrisus.co.uk,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1
sit.amet@urnasuscipit.co.uk,0,1,1,0,1,1,1,1,0,1,0,0,1,0,0
eu.odio@Suspendisseacmetus.net,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0
